trackid,firstposx,firstposy,firstposz,firstpost,momx,momy,momz,charge,chi2ndf,type,hitid,muonid,recox,recoy,recoz,recot
0,-225.113,-163.555,-40.67,85,-5.89676,158.763,-1.59833,1,0,0,0,219,-225.113,-163.555,-40.67,85
0,-225.113,-163.555,-40.67,85,-5.89676,158.763,-1.59833,1,0,0,1,219,-219.345,-111.762,-51.31,85
0,-225.113,-163.555,-40.67,85,-5.89676,158.763,-1.59833,1,0,0,2,219,-199.224,-64.7317,-62.71,85
0,-225.113,-163.555,-40.67,85,-5.89676,158.763,-1.59833,1,0,0,3,219,-166.337,-26.3452,-74.3,85
0,-225.113,-163.555,-40.67,85,-5.89676,158.763,-1.59833,1,0,0,4,219,-124.464,-1.52419e-14,-85.8209,85
1,198.772,31.4824,47.7,145,75.8748,39.5983,-12.0367,1,0,0,0,14,198.772,31.4824,47.7,145
1,198.772,31.4824,47.7,145,75.8748,39.5983,-12.0367,1,0,0,1,14,163.685,-0,41.0004,145
1,198.772,31.4824,47.7,145,75.8748,39.5983,-12.0367,1,0,0,2,14,152.099,-24.0901,37.06,145
1,198.772,31.4824,47.7,145,75.8748,39.5983,-12.0367,1,0,0,3,14,148.084,-48.1155,33.64,145
1,198.772,31.4824,47.7,145,75.8748,39.5983,-12.0367,1,0,0,4,14,151.092,-76.9854,29.46,145
2,-59.8089,-82.3198,116.57,195,-29.3478,-10.5388,-12.6917,1,0,0,0,277,-59.8089,-82.3198,116.57,195
2,-59.8089,-82.3198,116.57,195,-29.3478,-10.5388,-12.6917,1,0,0,1,277,-82.5583,-82.5583,126.004,195
2,-59.8089,-82.3198,116.57,195,-29.3478,-10.5388,-12.6917,1,0,0,2,277,-98.4533,-71.5305,121.89,195
2,-59.8089,-82.3198,116.57,195,-29.3478,-10.5388,-12.6917,1,0,0,3,277,-106.061,-54.0408,124.93,195
2,-59.8089,-82.3198,116.57,195,-29.3478,-10.5388,-12.6917,1,0,0,4,277,-103.58,-33.6553,128.35,195
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,0,845,72.6079,99.9362,28.7,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,1,845,76.5125,76.5125,27.75,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,2,845,82.4671,59.9159,27.18,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,3,845,89.6397,45.6737,26.99,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,4,845,99.1144,32.2042,26.61,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,5,845,113.352,17.9532,26.04,200
3,72.6079,99.9362,28.7,200,-6.46401,103.724,-4.15019,1,0,0,6,845,144.3,-0,25.66,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,0,845,133.419,96.9346,32.69,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,1,845,105.935,105.935,31.93,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,2,845,89.9576,123.816,31.55,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,3,845,85.6153,168.03,30.79,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,4,845,146.073,201.053,32.31,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,5,845,180.698,180.698,32.5,200
4,133.419,96.9346,32.69,200,-45.825,1.32241,1.18821,1,0,0,6,845,190.208,138.194,33.07,200
5,89.9189,176.476,33.64,202.5,6.73521,29.1411,-4.05,1,0,0,0,845,89.9189,176.476,33.64,202.5
5,89.9189,176.476,33.64,202.5,6.73521,29.1411,-4.05,1,0,0,1,845,142.165,195.673,42.57,200
5,89.9189,176.476,33.64,202.5,6.73521,29.1411,-4.05,1,0,0,2,845,142.735,142.735,51.69,205
5,89.9189,176.476,33.64,202.5,6.73521,29.1411,-4.05,1,0,0,3,845,104.632,144.014,62.9,205
5,89.9189,176.476,33.64,202.5,6.73521,29.1411,-4.05,1,0,0,4,845,142.735,142.735,80.38,205
6,167.464,167.464,80.38,205,24.0282,-28.0992,3.88752,1,0,0,0,845,167.464,167.464,80.38,205
6,167.464,167.464,80.38,205,24.0282,-28.0992,3.88752,1,0,0,1,845,131.966,181.635,84.56,205
6,167.464,167.464,80.38,205,24.0282,-28.0992,3.88752,1,0,0,2,845,118.295,118.295,94.44,205
6,167.464,167.464,80.38,205,24.0282,-28.0992,3.88752,1,0,0,3,845,175.018,127.158,97.67,205
6,167.464,167.464,80.38,205,24.0282,-28.0992,3.88752,1,0,0,4,845,132.003,181.687,101.29,205
7,-98.9076,-98.9076,-131.01,220,13.4151,-84.0648,34.6702,1,0,0,0,874,-98.9076,-98.9076,-131.01,220
7,-98.9076,-98.9076,-131.01,220,13.4151,-84.0648,34.6702,1,0,0,1,874,-105.37,-76.5561,-121.51,220
7,-98.9076,-98.9076,-131.01,220,13.4151,-84.0648,34.6702,1,0,0,2,874,-115.372,-58.785,-112.96,220
7,-98.9076,-98.9076,-131.01,220,13.4151,-84.0648,34.6702,1,0,0,3,874,-130.421,-42.3763,-102.7,220
7,-98.9076,-98.9076,-131.01,220,13.4151,-84.0648,34.6702,1,0,0,4,874,-158.513,-25.106,-87.7108,220
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,0,18,281.674,-44.6128,-75.25,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,1,18,266.167,-86.483,-79.43,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,2,18,245.299,-124.986,-83.42,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,3,18,219.345,-159.363,-87.22,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,4,18,189.43,-189.43,-90.83,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,5,18,155.901,-214.58,-94.82,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,6,18,81.4337,-250.627,-102.13,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,7,18,41.2541,-260.468,-105.93,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,8,18,1.62172e-14,-264.855,-109.73,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,9,18,-41.7297,-263.471,-113.53,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,10,18,-83.2538,-256.229,-117.33,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,11,18,-123.778,-242.928,-121.13,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,12,18,-162.49,-223.649,-125.12,255
8,281.674,-44.6128,-75.25,255,-78.2729,-269.165,26.2201,1,0,0,13,18,-198.566,-198.566,-129.3,255
